Hf	deltaHf ref=-281.0101425460831
-296.5874920717848	-15.57734952570172
-273.50509020790344	7.5050523381796665
-295.80605100711693	-14.795908461033832
-273.1005062881974	7.909636257885722
-291.8142546355317	-10.804112089448608
-293.65329184237055	-12.643149296287447
-283.883013444976	-2.87287089889287
-312.2802506843524	-31.27010813826928
-318.852441855293	-37.84229930920992
-310.86791793527084	-29.857775389187736
-269.590767782816	11.419374763267115
-303.1550054914202	-22.14486294533708
-284.95888795199573	-3.948745405912632
-250.978839352401	30.031303193682106
-277.33464582281306	3.6754967232700437
-279.64386603043533	1.366276515647769
-309.617610853829	-28.607468307745876
-314.02840864809116	-33.018266102008056
-282.6629975002958	-1.6528549542126711
-315.2645506596542	-34.25440811357112
-282.83576236941155	-1.8256198233284522
-286.14029287697633	-5.13015033089323
-284.2489574504958	-3.2388149044127204
-289.66976714427585	-8.65962459819275
-291.6272521080624	-10.617109561979305
-302.0258314916515	-21.0156889455684
-239.22060403739454	41.789538508688565
-231.7527540216048	49.2573885244783
-298.494861742534	-17.484719196450897
-280.70970859898955	0.300433947093552
-224.5555146332132	56.45462791286991
-317.87094930704336	-36.86080676096026
-297.3185818619037	-16.30843931582058
-260.68171565117666	20.328426894906443
-281.6035040963849	-0.5933615503017791
-298.3618785754894	-17.35173602940631
-287.65640693710304	-6.64626439101994
-262.1053906750109	18.90475187107222
-298.34213702816635	-17.331994482083246
-337.057066573028	-56.04692402694491
-261.41327516012245	19.59686738596065
-292.8284691651003	-11.81832661901717
-256.63233988932336	24.37780265675974
-302.71847462822336	-21.70833208214026
-281.80757958089237	-0.7974370348092634
-260.62810469619	20.382037849893095
-276.27053969320843	4.739602852874668
-264.90712010257414	16.103022443508962
-306.21252648188386	-25.202383935800754
-286.5193834627804	-5.509240916697308
-277.6046982651402	3.405444280942902
-285.6013224257855	-4.591179879702395
-290.0665279015026	-9.05638535541948
-307.53666733181456	-26.526524785731453
-283.02388690641385	-2.0137443603307474
-264.8187670100539	16.191375536029227
-291.3777278861322	-10.367585340049118
-263.25284750325375	17.757295042829355
-257.19998764810737	23.810154897975735
-289.5902482335747	-8.580105687491596
-267.12582695064486	13.884315595438238
-244.34710311455422	36.66303943152889
-305.1244573989476	-24.11431485286448
-302.27568009861864	-21.265537552535534
-294.9280048045272	-13.917862258444075
-251.3060739816225	29.704068564460613
-346.110826063226	-65.1006835171429
-302.49919837904747	-21.489055832964368
-270.23093233140537	10.779210214677732
-248.75544688803495	32.25469565804815
-318.59711395942725	-37.586971413344145
-271.6367185426294	9.373424003453692
-270.88850003948903	10.121642506594071
-291.57477400032224	-10.564631454239134
-288.3019164776721	-7.291773931588978
-290.2231418521202	-9.21299930603709
-270.9732979024935	10.036844643589575
-250.18170646586225	30.828436080220854
-275.3127115118492	5.697431034233887
-290.8677567659412	-9.857614219858078
-267.68881628880047	13.321326257282635
-309.7682585097151	-28.758115963632008
-321.5629175468581	-40.552775000775
-283.2358243295399	-2.225681783456821
-286.7422148012789	-5.732072255195817
-301.06863575058526	-20.058493204502156
-269.1825503150991	11.82759223098401
-292.6965879255673	-11.686445379484212
-279.90892932188	1.101213224203093
-313.79929218571635	-32.78914963963325
-290.5534371287737	-9.543294582690578
-227.85069889877343	53.15944364730967
-287.6639116863022	-6.653769140219083
-270.2660235166783	10.744119029404828
-268.5124127312098	12.49772981487331
-328.69436893358363	-47.68422638750053
-253.551371086936	27.4587714591471
-257.1802038035763	23.829938742506783
-270.1998045704619	10.810337975621223
-266.3203588166158	14.689783729467308
-307.7733507315221	-26.763208185438998
-273.72501154703207	7.2851309990510345
-274.8820084541163	6.1281340919667855
-272.3468645674817	8.6632779786014
-252.58941420332997	28.420728342753137
-282.7434395093238	-1.7332969632407185
-323.1151486945397	-42.105006148456596
-244.79545462320095	36.21468792288215
-294.3734693756793	-13.36332682959619
-285.25115427254934	-4.24101172646624
-347.9912463121815	-66.98110376609839
-248.92730063804777	32.082841908035334
-313.96415558520823	-32.95401303912513
-278.604626930604	2.4055156154790893
-281.6724100758671	-0.6622675297840033
-276.24305464018255	4.767087905900553
-308.43645037529643	-27.42630782921333
-267.47370401521914	13.536438530863961
-283.6654858176713	-2.655343271588208
-286.6569752242591	-5.646832678175997
-282.4867010497197	-1.4765585036366247
-264.75041928866415	16.259723257418955
-298.3369268141629	-17.32678426807979
-280.2604417866329	0.7497007594502065
-293.6646901142318	-12.6545475681487
-305.66572897461594	-24.655586428532843
-285.58028107560824	-4.570138529525138
-298.15355263789536	-17.143410091812257
-281.8204805464426	-0.8103380003594793
-259.5224175681884	21.487724977894686
-274.98602032727797	6.024122218805132
-227.82173222168933	53.18841032439377
-300.1880526280962	-19.177910082013113
-277.31681565200563	3.6933268940774724
-260.6071787942143	20.40296375186881
-301.4693846931565	-20.459242147073383
-297.76273259921584	-16.752590053132735
-285.0707228019543	-4.060580255871173
-292.0556912040862	-11.0455486580031
-294.38361373598457	-13.373471189901466
-277.85547583628215	3.1546667098009493
-312.16133538417637	-31.151192838093266
-267.7606707609026	13.249471785180504
-280.89698099623786	0.11316154984524474
-308.92996574015126	-27.919823194068158
-294.3042587811011	-13.29411623501801
-302.9488026490668	-21.938660102983704
-257.5678227308323	23.442319815250812
-281.07772403390265	-0.06758148781955242
-314.97111690288295	-33.96097435679985
-287.9343927158276	-6.924250169744482
-259.73767648869546	21.272466057387646
