Hf	deltaHf ref=-226.5459645892064
-239.72669252665435	-13.180727937447955
-225.02660615951243	1.5193584296939662
-239.513059637737	-12.96709504853061
-222.94060877078516	3.6053558184212307
-227.4780604940555	-0.9320959048491204
-234.6250617446152	-8.079097155408817
-213.60291386373353	12.943050725472858
-244.27229004448816	-17.726325455281767
-248.45222837452673	-21.906263785320334
-251.78261139643507	-25.23664680722868
-227.86866962229612	-1.3227050330897328
-253.2229264265137	-26.676961837307317
-222.28881791674428	4.257146672462113
-205.0448025282916	21.501162060914794
-224.87050800681243	1.675456582393963
-220.3028664364341	6.243098152772291
-242.48728282951413	-15.941318240307737
-258.9344509808674	-32.38848639166099
-204.38347370641202	22.162490882794373
-243.30607303384238	-16.76010844463599
-226.28674570447254	0.2592188847338548
-242.09624700726488	-15.550282418058487
-227.58536575285905	-1.0394011636526557
-225.64384234205716	0.9021222471492365
-248.3322233045277	-21.78625871532131
-246.18212722069654	-19.63616263149015
-199.73058739868645	26.81537719051994
-192.9938380713087	33.552126517897705
-234.88183538626834	-8.335870797061943
-238.93680086575694	-12.390836276550544
-171.07663563961466	55.46932894959173
-258.0215106745403	-31.475546085333917
-247.85161135882151	-21.305646769615123
-211.65951320890815	14.88645138029824
-223.9807191253443	2.565245463862084
-230.6617921294768	-4.115827540270402
-232.65101224994066	-6.105047660734272
-218.97294160212402	7.573022987082368
-231.85076092479937	-5.304796335592982
-268.9084619405861	-42.362497351379716
-221.72185384311376	4.824110746092629
-235.6770004834783	-9.131035894271918
-202.48405360300455	24.061910986201838
-243.38089658565366	-16.834931996447267
-222.62215108275484	3.923813506451552
-195.95480665264256	30.59115793656383
-215.7185827064335	10.827381882772897
-214.25655506819965	12.289409521006746
-250.13170236341318	-23.58573777420679
-244.90989494014718	-18.36393035094079
-243.1233936997545	-16.57742911054811
-226.68101020568645	-0.1350456164800562
-235.66975418605796	-9.123789596851566
-245.68934767654935	-19.143383087342954
-237.23640980940615	-10.690445220199763
-221.19602356125904	5.349941027947352
-234.58533780805953	-8.039373218853143
-225.76933438654885	0.7766302026575431
-216.8009675946181	9.744996994588291
-241.0721471069504	-14.526182517744019
-220.74147161552753	5.804492973678862
-192.0326798530681	34.5132847361383
-240.11533078595892	-13.569366196752526
-239.17578461346636	-12.62982002425997
-233.4637637856598	-6.917799196453416
-195.7933502517502	30.75261433745618
-261.16778619991453	-34.62182161070814
-248.0920474428225	-21.5460828536161
-211.31699099685136	15.228973592355032
-183.4851909828525	43.060773606353905
-264.5958027602122	-38.04983817100583
-221.1505700262154	5.395394562990987
-214.7303384584469	11.815626130759483
-231.21946630314994	-4.673501713943551
-227.09956371028454	-0.5535991210781503
-234.79923452480068	-8.25326993559429
-221.68727275871277	4.858691830493626
-194.22597723434808	32.31998735485831
