Hf	deltaHf ref=-269.42389859059256
-274.79548922093306	-5.371590630340506
-260.45210189581337	8.971796694779187
-271.0240537889716	-1.6001551983790705
-255.55051598810894	13.873382602483616
-284.96624814986205	-15.542349559269496
-276.09283938424267	-6.668940793650108
-278.2948820961268	-8.870983505534241
-291.7834365675466	-22.359537976954016
-296.2387759459474	-26.814877355354838
-309.7765294874938	-40.352630896901246
-264.3208847275913	5.103013863001252
-282.7179978525477	-13.294099261955125
-287.0389500751429	-17.61505148455035
-246.52065816935863	22.90324042123393
-271.0688051870478	-1.6449065964552574
-260.02503618587286	9.398862404719694
-292.6548851078063	-23.23098651721375
-289.79588421865844	-20.371985628065886
-274.27225746678084	-4.848358876188286
-304.9152918994754	-35.491393308882834
-263.4102529284959	6.013645662096678
-285.41838638217666	-15.994487791584106
-274.33141243009084	-4.907513839498279
-285.08052713678114	-15.656628546188585
-276.9440172547278	-7.520118664135225
-283.83816338158283	-14.414264790990273
-229.04582351265196	40.37807507794059
-245.1174755985361	24.30642299205647
-273.36842589091464	-3.944527300322079
-267.03168212466187	2.3922164659306873
-218.87963223779877	50.544266352793784
-290.1439251219075	-20.720026531314943
-282.40761747002614	-12.983718879433582
-255.71065810684593	13.713240483746631
-276.601429624929	-7.177531034336425
-285.40199803580833	-15.978099445215776
-285.5006446397841	-16.07674604919157
-249.87805028493528	19.545848305657273
-286.9133488192987	-17.48945022870612
-316.9356113123889	-47.51171272179636
-246.94536690243183	22.47853168816073
-278.1838976647508	-8.759999074158259
-259.89419257510815	9.529706015484408
-275.4053486535653	-5.981450062972726
-264.90371510237526	4.520183488217299
-264.3890329047812	5.034865685811383
-263.322057979089	6.101840611503576
-248.768668579762	20.655230010830564
-297.39914698145947	-27.97524839086691
-270.3408133580182	-0.9169147674256237
-265.9138954731119	3.5100031174806645
-277.4556916993264	-8.031793108733837
-278.1281908316254	-8.704292241032817
-285.739472366486	-16.315573775893427
-270.09112812947785	-0.6672295388852945
-259.9998783545692	9.424020236023352
-272.01428054802307	-2.590381957430509
-245.9478531214212	23.476045469171368
-251.86595747434546	17.557941116247093
-275.75694430453075	-6.333045713938191
-236.22677536765184	33.19712322294072
-241.8303406881554	27.59355790243717
-295.3359659989168	-25.91206740832422
-286.8825369956852	-17.458638405092643
-279.0362939509745	-9.612395360381925
-253.82798481209682	15.595913778495742
-318.65654185818346	-49.2326432675909
-293.78103930237774	-24.357140711785178
-267.6915800004739	1.7323185901186662
-249.66676796499303	19.75713062559953
-290.7561292783306	-21.332230687738047
-255.6386218802894	13.785276710303151
-256.61957332166855	12.804325268924003
-273.4582820801537	-4.034383489561151
-287.00565270323784	-17.581754112645285
-273.6155760739588	-4.19167748336622
-269.55860225253343	-0.13470366194087546
-240.95026136915328	28.473637221439276
-273.10561370032735	-3.681715109734796
-266.8452638433322	2.5786347472603666
-266.78081127657276	2.6430873140197946
-290.4829118334259	-21.059013242833316
-303.6235819469824	-34.19968335638987
-271.1783352187871	-1.7544366281945258
-268.1043758865802	1.3195227040123427
-284.6920431491984	-15.268144558605854
-251.00283771845932	18.42106087213324
-269.51301513346914	-0.08911654287658166
-270.6066059599201	-1.1827073693275452
-292.6387837268361	-23.214885136243538
-277.43173261446134	-8.007834023868782
-220.3704927239254	49.05340586666716
-288.23296767168574	-18.809069081093185
-258.06414578834153	11.359752802251023
-252.07275407402847	17.35114451656409
-304.0019092313836	-34.578010640791035
-253.7439769302822	15.679921660310356
-241.95965055828344	27.464248032309115
-261.8226215552662	7.601277035326348
-254.50945232260926	14.914446267983294
-290.56225820848556	-21.138359617893002
-259.0709788545886	10.352919736003969
-259.4332545795281	9.990644011064433
-265.3054230317306	4.118475558861974
-242.20784913160094	27.21604945899162
