Hf	deltaHf ref=-78.58979197344819
-79.42737209972186	-0.8375801262736786
-75.35465104542457	3.235140928023611
-79.09556766396712	-0.5057756905189308
-79.73213526948096	-1.1423432960327773
-78.58349680689138	0.006295166556810727
-77.25827946043795	1.3315125130102388
-65.4128272451046	13.176964728343592
-77.79121384772519	0.7985781257229974
-79.36051178019919	-0.7707198067510035
-90.38191957634193	-11.792127602893743
-78.50169669415412	0.08809527929406613
-93.05312306769996	-14.463331094251771
-81.03167345648329	-2.441881483035104
-66.69219380993603	11.897598163512157
-81.25046135377055	-2.6606693803223607
-76.49012428807258	2.099667685375607
-81.89115112689545	-3.3013591534472653
-86.87942024239531	-8.289628268947126
-61.06875294684072	17.52103902660747
-75.85819987926082	2.731592094187363
-81.1576606144365	-2.5678686409883085
-91.31851292836221	-12.728720954914024
-77.52079600470755	1.0689959687406372
-77.52922629737735	1.060565676070837
-90.13372229062882	-11.543930317180639
-86.10505562827096	-7.515263654822775
-71.24808027352195	7.341711699926236
-63.24724781431654	15.342544159131648
-71.66908800871828	6.92070396472991
-80.74435491287225	-2.1545629394240677
-55.69306456474372	22.896727408704464
-89.34071715019967	-10.75092517675148
-88.23447942036658	-9.644687446918397
-78.10772713874324	0.48206483470494277
-78.06116951095758	0.5286224624906026
-76.93496534411246	1.65482662933573
-83.7860681946215	-5.196276221173321
-80.53166312217876	-1.94187114873057
-78.2491409070892	0.340651066358987
-86.36582647458566	-7.776034501137474
-81.91487354899367	-3.3250815755454823
-88.26307985469542	-9.673287881247234
-69.03847777949635	9.55131419395184
-76.43063520342479	2.159156770023401
-74.57194636772623	4.017845605721959
-60.077193554748405	18.51259841869978
-72.61190895329786	5.97788302015033
-72.46829893744074	6.12149303600745
-92.0028249743002	-13.41303300085201
-91.14130121799393	-12.551509244545741
-88.58488571045676	-9.995093737008574
-77.9466943522741	0.6430976211740926
-76.95766868018403	1.6321232932641578
-76.60299547334874	1.9867965000994445
-89.47859888973402	-10.88880691628583
-85.35726261181775	-6.767470638369559
-86.56283808758893	-7.973046114140743
-82.27479945461094	-3.6850074811627564
-79.38597334211885	-0.7961813686706591
-89.11190570722759	-10.522113733779406
-75.64054225758376	2.9492497158644255
-61.962624817693026	16.62716715575516
-77.48291740378703	1.1068745696611586
-83.3819850111497	-4.792193037701509
-80.1138011743926	-1.5240092009444197
-71.7591109142006	6.830681059247581
-82.18778069763287	-3.597988724184688
-90.82842879235908	-12.23863681891089
-72.81246095013488	5.777331023313309
-56.72228996737179	21.867502006076393
-88.09009123669169	-9.500299263243505
-75.32950462806842	3.2602873453797656
-65.80785590498202	12.781936068466166
-79.5872064945754	-0.9974145211272116
-81.85296309326735	-3.2631711198191624
-77.25886253672364	1.3309294367245457
-72.41699509049725	6.172796882950934
-63.409186668220386	15.1806053052278
-75.62110888801111	2.9686830854370783
-80.92459456469008	-2.334802591241896
-77.50182871564833	1.0879632577998564
-88.74124998675619	-10.151458013308002
-87.18602734853197	-8.59623537508378
-88.43609571011187	-9.846303736663685
-88.79176060659232	-10.201968633144133
-79.11394587770631	-0.524153904258128
-81.4187092788154	-2.828917305367213
-88.51084857404133	-9.921056600593147
-72.78770984214792	5.802082131300267
-74.76406519661326	3.8257267768349266
-80.15081210080392	-1.5610201273557323
-72.1875993016249	6.402192671823286
-76.4065486778993	2.183243295548891
-70.22186655982226	8.367925413625926
-68.44007543216433	10.149716541283851
-87.96938761021305	-9.379595636764861
-75.43587302469972	3.153918948748469
-73.95436588644155	4.6354260870066355
-80.55069220505833	-1.9609002316101396
-66.7543668858227	11.835425087625481
-96.28160255434999	-17.6918105809018
-65.76844090652888	12.821351066919306
-74.31656154683445	4.273230426613736
-72.08640560490242	6.503386368545762
-78.8539307962303	-0.2641388227821153
-81.21639207696283	-2.6266001035146473
-93.25967848832737	-14.669886514879181
-72.86755320063388	5.722238772814308
-78.16495909931403	0.4248328741341538
-82.13413588008846	-3.544343906640279
-95.0100525752416	-16.420260601793416
-72.6710281041262	5.918763869321992
-90.04438165455507	-11.454589681106881
-84.21688378427937	-5.627091810831189
-82.89379100003792	-4.303999026589736
-68.36305139655381	10.226740576894372
-87.83930859098767	-9.249516617539484
-62.64056151749831	15.949230455949873
-83.62927635986419	-5.039484386416007
-80.7947591810764	-2.204967207628215
-74.64887339790879	3.940918575539399
-83.30187589328783	-4.7120839198396425
-84.93436162491274	-6.344569651464553
-72.46733054412401	6.122461429324176
-83.5150828058788	-4.925290832430619
-89.25557320681695	-10.665781233368762
-67.82450981684381	10.765282156604371
-81.99714531402718	-3.407353340578993
-86.56264217333158	-7.972850199883396
-78.51734049190348	0.07245148154470371
-73.97361855082566	4.6161734226225235
-68.88871932170444	9.701072651743743
-78.32397394136136	0.26581803208682686
-74.7493905212243	3.8404014522238867
-89.72646612038373	-11.136674146935547
-84.35565976975998	-5.765867796311795
-68.16681474365326	10.422977229794924
-73.36808935520388	5.221702618244308
-82.36198577456456	-3.772193801116373
-79.65076780238381	-1.060975828935625
-72.40508120897651	6.184710764471674
-87.62475406057932	-9.034962087131134
-79.85616216702623	-1.266370193578041
-80.6007648291736	-2.010972855725413
-89.99515414356141	-11.405362170113222
-99.0053816536922	-20.41558968024401
-90.3685024466606	-11.778710473212413
-66.65453324405028	11.935258729397901
-77.21202507997735	1.3777668934708345
-84.16921033953552	-5.579418366087339
-74.02741679284667	4.562375180601521
-77.27970058022332	1.310091393224866
-71.97747479232861	6.612317181119579
-71.94383884721104	6.645953126237146
-79.85564300893314	-1.2658510354849568
-80.51762389200961	-1.9278319185614237
-69.14040814377516	9.449383829673025
-78.43247158171947	0.15732039172871737
-65.14533260475149	13.444459368696698
-63.78925095077578	14.800541022672405
-72.7230449207302	5.866747052717983
-78.655710695911	-0.06591872246281127
-78.33626547873358	0.2535264947146061
-81.48463451345309	-2.894842540004902
-79.91015334524785	-1.3203613717996632
-73.49537710026128	5.094414873186906
-79.56356462412371	-0.973772650675528
-91.41217993527901	-12.822387961830827
-82.37571935770687	-3.7859273842586845
-81.69202686103311	-3.1022348875849275
-76.7438724460146	1.8459195274335798
-76.12065530482799	2.4691366686201945
-78.50961458382447	0.08017738962371368
-74.57839698874089	4.0113949847072945
-80.41430519684512	-1.8245132233969343
-77.05991525861394	1.529876714834245
-66.70683630738425	11.882955666063935
-76.73830639263109	1.8514855808170978
-84.1373713393725	-5.547579365924321
-82.71573545023715	-4.125943476788962
-72.12694546981878	6.462846503629407
-82.41057121126072	-3.8207792378125305
-70.12227503518737	8.467516938260815
-68.2956714197528	10.294120553695393
-71.93707775239021	6.652714221057977
-76.03782189802153	2.5519700754266523
-85.34996074320519	-6.760168769757001
-71.07064824464327	7.51914372880492
-86.91335215045113	-8.323560177002946
-65.9636850941017	12.62610687934648
-67.4162775808902	11.17351439255799
-77.15234993663329	1.4374420368149003
-84.95275511903604	-6.362963145587855
-73.34038528669338	5.24940668675481
-86.9381603266804	-8.348368353232217
-69.2503582958809	9.339433677567285
-77.86137012539551	0.7284218480526761
-71.52733810219	7.062453871258185
-90.28899543113879	-11.6992034576906
-85.66612121606089	-7.076329242612701
-69.90212591723251	8.687666056215676
-78.07118172614285	0.5186102473053325
-79.29204242222771	-0.7022504487795231
-82.59051505033061	-4.000723076882423
-79.92603464441639	-1.336242670968204
-77.62752005690275	0.9622719165454328
-79.27421223940404	-0.6844202659558505
-77.00049384160523	1.589298131842952
-83.00623511160596	-4.416443138157774
-80.78345702663431	-2.1936650531861233
-75.77443779482495	2.815354178623238
-82.47027241835825	-3.880480444910063
-72.01875089957979	6.5710410738684
-82.00576711084726	-3.415975137399073
-83.41466261826211	-4.824870644813927
-81.97733174557219	-3.3875397721240006
-82.17143714632333	-3.5816451728751417
-83.64144662051261	-5.051654647064424
-86.6299445758625	-8.04015260241431
-73.37359633527306	5.216195638175122
-76.95248804864899	1.6373039247991983
-73.5110511533778	5.078740820070379
-99.7398544273667	-21.15006245391851
-77.98654961840951	0.6032423550386738
-70.79397265501687	7.795819318431313
-73.03404869481822	5.555743278629961
-83.72573080533333	-5.1359388318851416
-73.66190168317483	4.9278902902733535
-78.52066845454395	0.06912351890423452
-92.28913882139317	-13.69934684794498
-87.39243295208801	-8.802640978639829
-81.26528043960501	-2.6754884661568212
-84.42384917043022	-5.83405719698203
-83.21923438169618	-4.629442408247996
-73.57148233442352	5.018309639024665
-79.79941995798002	-1.209627984531835
-66.3651735816777	12.224618391770491
-91.87609325680317	-13.286301283354987
-91.59626933715775	-13.006477363709564
-87.42167530444134	-8.83188333099315
-84.89586441650975	-6.3060724430615664
-85.93962646794829	-7.349834494500101
-83.24529909331908	-4.65550711987089
-64.24911338995229	14.340678583495901
-84.09879893770561	-5.5090069642574235
-71.07367369087227	7.516118282575917
-74.45583320077934	4.133958772668848
-87.25033567795911	-8.660543704510928
-94.34750096836	-15.757708994911809
-75.50495697486188	3.0848349985863024
-79.20580724544128	-0.616015271993092
-73.39912608990493	5.190665883543261
-66.66693534119916	11.922856632249022
-86.75951741577522	-8.169725442327035
-86.37053932584534	-7.780747352397157
-72.3861840835991	6.203607889849081
-64.72234112372756	13.867450849720626
-89.86692809366217	-11.277136120213981
-83.61644174872639	-5.026649775278202
-81.45018403953803	-2.860392066089844
-88.61600235984154	-10.026210386393359
-77.26020205866665	1.3295899147815362
-71.16535179466813	7.42444017878006
-77.68846350815805	0.9013284652901348
-75.72079187950952	2.8690000939386664
-63.92811655073022	14.661675422717963
-79.13314387436479	-0.5433519009166048
-84.06847054887042	-5.4786785754222365
-85.73608246025763	-7.146290486809448
-75.97146369875848	2.618328274689702
-66.39044243340616	12.199349540042022
-87.45526090879797	-8.865468935349782
-86.85686079965966	-8.26706882621147
-89.4852014511955	-10.895409477747307
-75.54516087705927	3.044631096388912
-80.69312887591444	-2.1033369024662534
-61.80245829505951	16.787333678388677
-85.26883979229682	-6.67904781884863
-77.24497793960039	1.344814033847797
-84.60737188134884	-6.017579907900654
-84.46248225601379	-5.8726902825656
-72.29398452944154	6.295807444006641
-94.5629804907578	-15.973188517309609
-85.83844306494869	-7.248651091500506
-65.77014876672477	12.819643206723413
-71.71170797630406	6.878083997144131
-77.1320047417605	1.4577872316876892
-81.86471477730014	-3.2749228038519504
-89.16300774873456	-10.573215775286371
-80.59593241229526	-2.006140438847069
-72.17151111910356	6.41828085434463
-76.2840127844713	2.305779188976885
-70.88465203282907	7.705139940619119
-88.18749843418048	-9.597706460732297
-75.91180193874173	2.677990034706454
-70.95247872764524	7.637313245802943
-83.90146038605165	-5.311668412603467
-72.88542740897832	5.70436456446987
-76.10469210168161	2.485099871766579
-76.09296450922487	2.4968274642233155
-77.84671904121863	0.743072932229552
-100.54480792885737	-21.95501595540918
-70.51155747915912	8.078234494289063
-74.01287529127079	4.576916682177398
-91.08283820538712	-12.493046231938933
-77.08379337100199	1.5059986024461978
-74.77880962824132	3.8109823452068667
-83.69816259307775	-5.108370619629568
-78.26862641865522	0.3211655547929695
-81.81687590542354	-3.2270839319753577
-69.63531765534138	8.954474318106804
-66.97179439987234	11.617997573575849
-91.53298489668599	-12.943192923237802
-89.76116980704249	-11.171377833594306
-73.56696885719724	5.022823116250947
-80.93156583797393	-2.3417738645257486
-87.33311729890487	-8.74332532545668
-70.35736547372947	8.232426499718713
-60.70982332992865	17.879968643519533
-81.32453496373931	-2.7347429902911244
-79.2710739039387	-0.6812819304905133
-75.02342078121295	3.5663711922352377
-50.983176137727455	27.60661583572073
-78.26425258776293	0.32553938568526064
-89.1529535554648	-10.563161582016619
-73.66818330742102	4.9216086660271685
-79.10846427110594	-0.5186722976577585
-68.93785681047233	9.65193516297586
-74.32769158107043	4.262100392377761
-76.34734834065897	2.242443632789218
-89.9076739824843	-11.317882009036111
-79.06016731646672	-0.47037534301853157
-69.75750746209745	8.832284511350736
-86.33461982689481	-7.744827853446623
-78.95692866003013	-0.36713668658194365
-75.43730218002314	3.1524897934250475
-68.99951231465751	9.590279658790678
-82.28572155211371	-3.6959295786655275
-65.65459440096605	12.935197572482139
-73.48999311433657	5.0997988591116155
-75.13814149932954	3.451650474118651
-64.58332762354551	14.006464349902672
