Hf	deltaHf ref=-365.0836535864421
-360.585676898618	4.497976687824121
-352.6763965110788	12.407257075363304
-376.1606904693383	-11.07703688289621
-349.551170597397	15.532482989045093
-384.8367598137613	-19.753106227319222
-378.3594155486119	-13.275761962169781
-344.35366685414033	20.729986732301768
-386.4809865797199	-21.397332993277814
-413.67898989523223	-48.59533630879014
-428.31581215384927	-63.23215856740717
-345.9748132193838	19.108840367058292
-408.86840791845157	-43.78475433200947
-388.3932699449854	-23.30961635854328
-299.5725064397759	65.51114714666619
-366.6768358467	-1.5931822602578904
-367.7199404506739	-2.6362868642318062
-403.4139483731908	-38.33029478674871
-412.3229317502903	-47.23927816384821
-374.97463389921745	-9.890980312775355
-391.95558479645683	-26.871931210014736
-374.7301695926492	-9.646516006207094
-393.5254749344806	-28.441821348038502
-375.53693609433526	-10.453282507893164
-385.1297901212731	-20.04613653483102
-390.3628775829477	-25.279223996505607
-390.17136340121783	-25.087709814775735
-317.32251080680567	47.76114277963643
-283.2879845493501	81.79566903709201
-373.3765221933629	-8.29286860692082
-339.4063672497198	25.677286336722318
-279.1012344305839	85.98241915585822
-426.5128329265774	-61.429179340135306
-380.09126490464246	-15.007611318200361
-339.0023131875698	26.08134039887227
-372.53425346514837	-7.450599878706271
-401.6688440591008	-36.585190472658724
-388.16042104147186	-23.076767455029767
-332.3325711671407	32.75108241930138
-407.2953065980312	-42.21165301158908
-426.34783216535857	-61.26417857891647
-342.657300740879	22.426352845563088
-393.54034955193333	-28.456695965491235
-320.616660159247	44.46699342719512
-380.15476543429236	-15.071111847850261
-363.866752326858	1.2169012595841195
-336.09558060939	28.98807297705207
-367.8050683696258	-2.721414783183718
-343.43762634344444	21.64602724299766
-417.47491701089007	-52.39126342444797
-369.1763234047305	-4.092669818288414
-357.1102956452726	7.973357941169525
-362.1460196973551	2.93763388908701
-390.9902501268282	-25.90659654038609
-381.4977502578315	-16.414096671389416
-379.3247484150254	-14.2410948285833
-369.29701758672877	-4.213364000286674
-404.7132754401739	-39.629621853731805
-335.53604302618464	29.547610560257453
-339.4480109175695	25.635642668872606
-392.824612327988	-27.74095874154591
-349.1696930032251	15.913960583216976
-304.06822218471484	61.015431401727255
-390.54734949100225	-25.463695904560154
-396.0686797375877	-30.985026151145576
-375.60778533113466	-10.524131744692568
-341.3873013656323	23.696352220809786
-444.4956608223058	-79.41200723586371
-401.55801419784825	-36.474360611406155
-341.54345305839365	23.540200528048445
-297.60397418078196	67.47967940566014
-406.0235335774398	-40.939879990997724
-354.2521098397176	10.831543746724492
-344.945544342065	20.13810924437712
-385.95481053401295	-20.871156947570853
-382.5691728492586	-17.485519262816524
-371.44064432888104	-6.3569907424389385
-333.8124518512252	31.27120173521689
-308.5020161959021	56.58163739053998
-351.07328634943974	14.010367237002356
-384.2888367773178	-19.205183190875687
-346.95432869448837	18.12932489195373
-408.269730249149	-43.18607666270691
-430.3010068003407	-65.2173532138986
-372.9409249220537	-7.8572713356115855
-367.5845649878231	-2.5009114013810176
-390.46219937371484	-25.378545787272742
-351.5186408872453	13.565012699196814
-403.20836729930875	-38.12471371286665
-344.7299504236346	20.353703162807506
-389.89778075587515	-24.81412716943305
-375.64404977897925	-10.560396192537155
-303.7081305807717	61.3755230056704
-373.06707042454786	-7.983416838105768
-349.67979116262563	15.403862423816463
-329.3702831048488	35.7133704815933
-427.6952610308565	-62.6116074444144
-338.0420476198108	27.041605966631323
-331.4921038579689	33.59154972847318
-352.2884540399739	12.795199546468211
-338.03520979940936	27.04844378703274
-410.61435316138363	-45.530699574941536
-324.64248296853316	40.44117061790894
-381.49500723150254	-16.411353645060444
-369.19206688441614	-4.108413297974039
-313.7630133154073	51.32064027103479
-380.02264303611287	-14.938989449670771
-437.0846622474694	-72.0010086610273
-331.2469750986113	33.836678487830795
-379.3478661811007	-14.264212594658602
-366.83823250736737	-1.754578920925269
-432.6209872765378	-67.53733369009569
-316.2293366544384	48.85431693200371
-405.056438497317	-39.97278491087491
-358.9755072563041	6.10814633013797
-369.79421303071126	-4.710559444269165
-338.0287922693153	27.05486131712678
-407.8752350244524	-42.791581438010326
-331.1281676012643	33.9554859851778
-369.71382655202456	-4.63017296558246
-395.28250373034666	-30.198850143904565
-358.36196931165455	6.721684274787549
-340.5853748079883	24.498278778453823
-380.56205460131446	-15.478401014872361
-351.3814036090246	13.702249977417523
-405.610705351128	-40.52705176468589
-416.15610299083914	-51.07244940439705
-355.6672922371856	9.416361349256476
-391.8593510031262	-26.775697416684125
-385.2860808753378	-20.202427288895706
-347.1246861338061	17.95896745263599
-365.3349401559301	-0.251286569488002
-285.724095078642	79.3595585078001
-390.65811504463477	-25.574461458192673
-355.4941896927396	9.589463893702487
-345.2085210346179	19.87513255182421
-419.475062390635	-54.391408804192906
