Hf	deltaHf ref=-207.42512163573025
-205.8551310323897	1.5699906033405568
-210.0507198850906	-2.625598249360337
-213.7074082909317	-6.28228665520146
-189.34386444108583	18.081257194644422
-214.24970376656762	-6.824582130837371
-205.71469662371288	1.7104250120173674
-210.41234148175187	-2.987219846021617
-239.28994098741583	-31.864819351685583
-236.79909601160813	-29.37397437587788
-261.98301411142944	-54.55789247569919
-190.56764992772565	16.857471708004596
-248.02452419067464	-40.59940255494439
-221.4155329998544	-13.990411364124157
-191.41525924280774	16.009862392922514
-188.98518280992772	18.43993882580253
-192.94339735668524	14.481724279045011
-232.3804089850824	-24.955287349352147
-226.75264522973936	-19.327523594009108
-218.93490676658308	-11.509785130852833
-230.1806129405964	-22.755491304866155
-205.72540834931038	1.6997132864198647
-235.61659532083337	-28.19147368510312
-231.57233585902628	-24.147214223296032
-231.11771722959435	-23.692595593864098
-205.34196724638656	2.08315438934369
-255.74522327128994	-48.320101635559695
-172.95841673701267	34.46670489871758
-199.00196954726613	8.423152088464121
-220.38769930633913	-12.96257767060888
-197.3903254020484	10.034796233681845
-161.64429693016478	45.780824705565465
-242.6012301759261	-35.176108540195855
-237.82241052269143	-30.397288886961178
-192.87417912962752	14.550942506102729
-222.88640883824752	-15.46128720251727
-234.33003775015146	-26.904916114421212
-218.87948657410067	-11.454364938370418
-208.7911694200962	-1.3660477843659464
-259.94178155024616	-52.51665991451591
-258.86377376940123	-51.438652133670985
-172.55775748811044	34.86736414761981
-223.1987906916989	-15.77366905596864
-207.99013809495278	-0.5650164592225337
-223.53295194087747	-16.107830305147218
-193.96681267793662	13.458308957793633
-203.27370503270555	4.1514166030247
-184.46038091653514	22.964740719195106
-198.07963361345952	9.345488022270729
-248.99156566568905	-41.5664440299588
-232.7742463920809	-25.349124756350648
-193.70890084618492	13.716220789545332
-220.5386940425165	-13.113572406786261
-232.36964739628507	-24.944525760554825
-212.98386305617947	-5.558741420449223
-204.4933126423062	2.931808993424056
-228.9429863160845	-21.51786468035425
-219.33878632599277	-11.913664690262522
-205.99598496971208	1.4291366660181666
-175.44077465275092	31.984346982979332
-209.80834810956054	-2.383226473830291
-170.98640933077746	36.43871230495279
-169.44724418987659	37.977877445853665
-213.91188288755853	-6.486761251828284
-207.82517432478977	-0.40005268905952107
-202.90073891872504	4.52438271700521
-195.45783395617815	11.9672876795521
-251.34684340663858	-43.921721770908334
-203.5500045128943	3.8751171228359453
-187.8819357297985	19.54318590593175
-156.0161331460336	51.40898848969664
-240.9939018182127	-33.56878018248244
-189.77722445698652	17.647897178743733
-197.16195981218385	10.263161823546397
-200.3263157566767	7.098805879053543
-204.66330910102312	2.7618125347071327
-228.29840511371054	-20.873283477980294
-209.95606311698117	-2.5309414812509203
-154.85058838554738	52.57453325018287
-215.59908238337863	-8.17396074764838
-233.62237811435676	-26.197256478626514
-189.1287753977163	18.29634623801394
-219.94337333093478	-12.518251695204526
-272.944844900027	-65.51972326429677
-211.5329560730102	-4.107834437279962
-200.8271197741347	6.598001861595549
-238.7639399684345	-31.33881833270425
-198.42225428652506	9.00286734920519
-253.01445339229446	-45.589331756564206
-214.0925677823621	-6.667446146631846
-229.07606507626093	-21.650943440530682
-190.44944448659277	16.975677149137482
-176.7425492259868	30.682572409743443
-205.17235196017333	2.2527696755569195
-202.879460353252	4.54566128247825
-195.86642792660183	11.55869370912842
-241.25319208147317	-33.828070445742924
-197.31893355877452	10.106188076955732
-164.2924405800664	43.13268105566385
-191.10690781822683	16.31821381750342
