Hf	deltaHf ref=-79.43461222317134
-96.78421861000831	-17.349606386836967
-72.53503590536135	6.899576317809988
-77.11902830084588	2.315583922325459
-78.84654638157232	0.5880658415990183
-90.81895658845903	-11.384344365287689
-85.24449969154963	-5.809887468378292
-96.67702967159718	-17.24241744842584
-92.64619334285678	-13.211581119685434
-95.21156347438816	-15.776951251216815
-78.27037414396042	1.164238079210918
-82.07763272256713	-2.6430204993957886
-60.79813680176309	18.63647542140825
-80.10004433004949	-0.6654321068781428
-78.53736435250036	0.8972478706709808
-84.6795873358046	-5.244975112633256
-71.81484400023189	7.619768222939456
-80.22006538051798	-0.7854531573466375
-74.7303072313866	4.704304991784738
-86.89895381530229	-7.46434159213095
-116.28872877445835	-36.85411655128701
-68.5933073621986	10.841304860972741
-77.37986702069472	2.0547452024766244
-66.92450473556389	12.510107487607456
-84.15887648979557	-4.724264266624232
-73.24634055435169	6.188271668819652
-70.41453623150161	9.020075991669728
-54.648800125489714	24.785812097681628
-85.7591317292158	-6.324519506044453
-77.3709996170787	2.063612606092647
-87.44841557436163	-8.01380335119029
-73.91116513753374	5.523447085637599
-75.97956388054305	3.455048342628288
-71.8370301373129	7.597582085858448
-76.9244915261356	2.5101206970357453
-77.90801537294325	1.5265968502280884
-79.93317803782563	-0.4985658146542846
-82.47343077112461	-3.0388185479532694
-72.34926031657821	7.085351906593132
-64.6538769836902	14.780735239481146
-92.81412551044056	-13.37951328726922
-62.283003684030035	17.151608539141307
-71.08570502929658	8.348907193874766
-86.70817111525545	-7.273558892084111
-83.21218432257453	-3.777572099403187
-78.96471148394491	0.46990073922643205
-88.61441095146299	-9.179798728291644
-85.6146118344245	-6.179999611253152
-68.52767934791925	10.906932875252096
-82.12764068538533	-2.693028462213988
-72.81494392004103	6.619668303130311
-74.01884294404451	5.415769279126835
-95.91672508478084	-16.482112861609494
-58.53458800294763	20.900024220223713
-83.49697709960898	-4.062364876437641
-73.35459258075431	6.080019642417028
-47.253694537196196	32.180917685975146
-63.585481371008854	15.849130852162489
-60.3863119765069	19.04830024666444
-75.30318486710027	4.131427356071072
-63.448033469975115	15.986578753196227
-50.1760188256944	29.258593397476943
-87.291745130939	-7.857132907767664
-89.2420056910473	-9.807393467875954
-90.66295188319643	-11.228339660025085
-85.30379389240122	-5.869181669229874
-76.10408335368126	3.330528869490081
-101.40009308348678	-21.965480860315438
-99.71008114860749	-20.275468925436144
-96.32844211175549	-16.89382988858415
-110.9584896893343	-31.523877466162958
-77.93477337308147	1.4998388500898727
-69.59663900547318	9.837973217698163
-77.59811330446834	1.8364989187030005
-81.96510439080745	-2.530492167636112
-101.85521517175081	-22.42060294857947
-79.0848848479786	0.34972737519274233
-90.87958347646642	-11.44497125329508
-91.29885409558344	-11.864241872412094
-82.6122818774879	-3.17766965431656
-55.86814728536271	23.566464937808632
-95.85043416870619	-16.415821945534844
-82.89926094565314	-3.4646487224817974
-76.97659429485654	2.4580179283148027
-70.43140919148433	9.003203031687008
-68.1701546995159	11.264457523655437
-69.19083102423471	10.243781198936631
-57.264318397027154	22.17029382614419
-45.9215223400374	33.513089883133944
-93.160548210521	-13.725935987349658
-90.68251734752127	-11.247905124349927
-94.02328958493169	-14.588677361760347
-58.1816310332201	21.252981189951242
-102.70002449438331	-23.26541227121197
-77.18970665024105	2.2449055729302927
-78.8343469723172	0.600265250854136
-98.12908102919616	-18.694468806024815
-64.20932217341621	15.225290049755131
-67.51535892829858	11.91925329487276
-78.07032452842256	1.364287694748782
-64.72915068451991	14.705461538651434
-84.57944987026573	-5.144837647094391
-93.5993632069644	-14.164750983793056
-69.0991552670516	10.335456956119742
-87.39951109101682	-7.964898867845477
-68.0575951322812	11.37701709089015
-83.53745287385979	-4.102840650688449
-75.7374390042082	3.697173218963144
-55.41094676915097	24.023665454020374
-100.30306858668197	-20.86845636351063
-70.92542127934436	8.50919094382698
-115.16144499102526	-35.72683276785392
-80.86475637942064	-1.4301441562492982
-92.16269555425103	-12.728083331079688
-70.21659660390148	9.218015619269863
-75.4814927162574	3.9531195069139358
-95.38292683198821	-15.948314608816872
-87.85160184898857	-8.416989625817223
-89.19220140066179	-9.757589177490445
-90.01142651469715	-10.576814291525807
-86.36644044619467	-6.931828223023331
-95.12065428459616	-15.686042061424814
-75.62339589406335	3.8112163291079924
-89.1226572454311	-9.688045022259757
-73.92287358249311	5.511738640678232
-68.37291042770673	11.061701795464614
-67.90691942709825	11.527692796073097
-91.02654267536715	-11.591930452195811
-83.43310556826916	-3.9984933450978133
-55.437844836515495	23.996767386655847
-56.36486259616365	23.069749627007695
-70.88470437905059	8.549907844120753
-63.59599109467533	15.838621128496015
-92.36652830261161	-12.93191607944027
-101.00112785709504	-21.5665156339237
-63.48908951625205	15.945522706919292
-74.52542374321499	4.909188479956356
-106.62750462036499	-27.192892397193646
-95.74891013394378	-16.31429791077244
-97.33893010823382	-17.904317885062483
-91.42492698466091	-11.990314761489572
-64.25695333136397	15.177658891807368
-101.68347264284827	-22.24886041967693
-77.71238006229984	1.7222321608714992
-79.16773510321079	0.2668771199605544
-92.35496810173069	-12.920355878559349
-70.37517251219694	9.059439710974402
-51.37089799872635	28.063714224444993
-69.72389289631107	9.710719326860271
-91.63041278331954	-12.1958005601482
-64.18735614527984	15.247256077891507
-93.97820384097437	-14.543591617803031
-74.23332242503099	5.201289798140351
-81.00448597640795	-1.5698737532366067
-69.42484697189363	10.009765251277713
-106.90607390459488	-27.471461681423534
-100.04777692453942	-20.613164701368078
-98.55771278673498	-19.12310056356364
-89.88555655089883	-10.450944327727484
-95.34512457025855	-15.910512347087206
-51.75095438661671	27.68365783655463
-88.41597959332873	-8.981367370157386
-103.1425226831038	-23.707910459932464
-78.51782231867989	0.916789904491452
-85.03632050676103	-5.601708283589687
-90.13848488336814	-10.703872660196794
-60.801555954638815	18.633056268532528
-74.52118088401627	4.913431339155068
-51.117523146071534	28.31708907709981
-71.96646593535704	7.468146287814307
-80.97618017393549	-1.541567950764147
-66.71241499404866	12.722197229122685
-55.70987302661385	23.724739196557493
-85.97972591360892	-6.545113690437574
-74.08505915717839	5.34955306599295
-44.28736141095439	35.14725081221695
-73.73491121085542	5.699701012315927
-83.52709360635933	-4.092481383187987
-75.22755414068385	4.207058082487492
-43.93258448221465	35.50202774095669
-77.52165108095366	1.9129611422176822
-65.36211404111097	14.072498182060372
-73.61645116484439	5.81816105832695
-73.82258731404588	5.612024909125466
-64.92435061748844	14.5102616056829
-74.24526149074379	5.189350732427556
-72.11372811883345	7.3208841043378925
-75.47995772302099	3.9546545001503546
-83.13626307292586	-3.7016508497545146
-87.13281658176717	-7.698204358595831
-96.41774402515009	-16.983131801978743
-50.16099934775272	29.27361287541862
-110.71328681035672	-31.278674587185378
-72.59315748159722	6.841454741574125
-65.16119773765101	14.273414485520334
-71.52143886467681	7.913173358494532
-88.20175387444621	-8.76714165127487
-72.88406102909946	6.550551194071886
-68.73578402876453	10.698828194406815
-72.48996585701977	6.944646366151574
-86.20723719060922	-6.772624967437878
-84.63339596195735	-5.198783738786005
-88.89525238362555	-9.460640160454204
-66.71984200008453	12.714770223086816
-71.1433331830253	8.291279040146037
-74.51443793780933	4.920174285362009
-79.80276420154993	-0.3681519783785916
-45.58490408035729	33.84970814281405
-88.97596927630227	-9.541357053130923
-80.9763297965678	-1.541717573396454
-85.1699899148866	-5.735377691715257
-76.34336564566772	3.0912465775036253
-79.11889433808253	0.3157178850888158
-100.14340209602821	-20.70878987285687
-92.30001399600448	-12.865401772833138
-76.69201944862877	2.7425927745425724
-69.23584579320456	10.198766429966781
-87.83747338288092	-8.402861159709573
-83.4830951600438	-4.04848293687246
-72.91366009657801	6.520952126593329
-87.44309770198603	-8.008485478814691
-78.01607232820831	1.4185398949630326
-74.82602539150545	4.608586831665889
-85.33573893020954	-5.901126707038202
-51.788477006439706	27.646135216731636
-106.07182259177941	-26.637210368608066
-80.25956231431925	-0.8249500911479117
-88.64313513164822	-9.20852290847688
-61.83453479855095	17.600077424620395
-71.55252495893225	7.88208726423909
-82.48844027214224	-3.0538280489708995
-64.07331120494788	15.361301018223458
-60.17988651692437	19.254725706246973
-96.32565018345346	-16.89103796028212
-74.71562325098645	4.7189889721848886
-60.84406232456101	18.590549898610334
-68.56817878623994	10.866433436931402
-75.32126194069721	4.11335028247413
-68.73592482907267	10.69868739409867
-78.40082210331317	1.0337901198581676
-82.09626306312427	-2.6616508399529266
-85.90072774323787	-6.4661155200665235
-76.37690879292356	3.057703430247784
-100.3165467005442	-20.88193447737285
-71.76217577478971	7.672436448381632
-80.02849347677554	-0.5938812536041951
-93.13740256848402	-13.702790345312678
-61.155575257753725	18.279036965417617
-56.2539596171832	23.180652605988143
-93.55469746651804	-14.120085243346693
-69.90368354093377	9.530928682237573
-72.48371038659977	6.950901836571575
-94.6317880411793	-15.197175818007963
-76.96796716617834	2.466645056993002
-66.79567093279772	12.638941290373623
-67.52458132018225	11.910030902989092
-82.89199640363083	-3.457384180459485
-60.01636192958401	19.418250293587334
-44.032701770708144	35.4019104524632
-87.63666314754525	-8.202050924373907
-59.338169361194076	20.096442861977266
-57.80596724178619	21.62864498138515
-93.13194854032778	-13.697336317156442
-90.42921277817956	-10.994600555008219
-64.94418986745447	14.490422355716873
-71.02343420458644	8.411178018584906
-78.47269831714809	0.9619139060232555
-57.36816042526195	22.066451797909394
-70.06412458299607	9.37048764017527
-69.13204150937096	10.302570713800378
-62.76555745953962	16.66905476363172
-107.61823922411574	-28.183627000944398
-72.18612797581451	7.248484247356828
-65.63214721424308	13.802465008928266
-90.39950780993829	-10.964895586766943
-67.40119369695319	12.033418526218156
-103.5084924714815	-24.07388024831016
-84.1825616638657	-4.747949440694356
-82.32652949580958	-2.8919172726382385
-89.01888696956163	-9.584274746390292
-66.25122333933402	13.183388883837324
-95.32636684974429	-15.891754626572947
-76.57678531413555	2.8578269090357935
-64.63275302962435	14.801859193546989
-77.71762648538285	1.716985737788491
-77.42065652151948	2.0139557016518665
-64.4376219464161	14.996990276755241
-59.31205288712087	20.12255933605047
-52.7551253926126	26.679486830558744
-71.07975385013421	8.354858373037132
-74.05238141229935	5.382230810871988
-103.46160284781078	-24.02699062463944
-55.84320888803492	23.59140333513642
-64.11455118631281	15.320061036858533
-78.32094846415427	1.1136637590170722
-86.13793347368343	-6.70332125051209
-76.05079301272642	3.3838192104449263
