Hf	deltaHf ref=-122.43539804087266
-130.5820008505492	-8.146602809676551
-130.15649027816323	-7.721092237290577
-132.05070362312324	-9.615305582250585
-102.4246622934246	20.010735747448052
-127.32487854717544	-4.889480506302789
-136.41523894993077	-13.979840909058112
-134.81909335019952	-12.383695309326868
-147.88253650158947	-25.447138460716815
-148.49228633206292	-26.056888291190262
-146.69128501822195	-24.25588697734929
-135.17583466434223	-12.740436623469577
-124.74239105311642	-2.3069930122437654
-122.98454718260689	-0.5491491417342331
-114.60790526457492	7.827492776297731
-115.60237871980132	6.833019321071333
-114.42834505704593	8.007052983826725
-138.81021241869382	-16.374814377821167
-141.6064515658603	-19.171053524987656
-138.9822084072315	-16.54681036635884
-157.3727394008405	-34.93734135996783
-100.74924094161031	21.686157099262346
-127.77050405456464	-5.335106013691984
-128.8086540615135	-6.373256020640838
-130.6761118408998	-8.240713800027152
-126.59326111373446	-4.157863072861801
-128.69514945432672	-6.259751413454069
-100.30802969642752	22.12736834444513
-122.25259016923735	0.18280787163530476
-138.21757833209483	-15.782180291222176
-131.49359726508044	-9.058199224207783
-95.99199236707716	26.443405673795496
-140.11927667559428	-17.683878634721623
-132.18808469639987	-9.752686655527214
-104.26175928141527	18.17363875945739
-127.32346709725459	-4.888069056381937
-132.60589782868408	-10.170499787811423
-122.5339446410893	-0.0985466002166504
-110.31496688449477	12.12043115637789
-135.31365785808373	-12.878259817211074
-159.9610181563861	-37.52562011551345
-102.60534544198379	19.83005259888887
-118.66364359616489	3.771754444707767
-115.35868886208698	7.076709178785677
-144.5573362680101	-22.121938227137434
-125.86726793285413	-3.431869891981478
-134.41260067920155	-11.97720263832889
-116.23271841185704	6.20267962901562
-115.25955914545409	7.175838895418565
-133.28405656595203	-10.848658525079372
-120.89675851830759	1.538639522565063
-120.78567484823941	1.649723192633246
-123.33955687070045	-0.9041588298277929
-142.15356997667766	-19.718171935805003
-144.72926767575916	-22.293869634886505
-111.58704486267595	10.848353178196703
-106.89946935171099	15.535928689161665
-108.5391611928884	13.896236847984255
-107.8887631890342	14.546634851838462
-110.24957302741893	12.185825013453723
-116.6909639991303	5.744434041742352
-106.7795410970815	15.65585694379115
-110.35863723212458	12.076760808748077
-144.05035745033308	-21.614959409460425
-125.34928532814445	-2.913887287271791
-124.02437231962756	-1.588974278754904
-101.52564825269872	20.90974978817394
-159.15147624772578	-36.716078206853126
-133.39121644151817	-10.955818400645512
-121.28686156143738	1.148536479435279
-111.8528657001101	10.582532340762555
-141.5821082509159	-19.14671021004324
-119.10924673542684	3.326151305445819
-131.05643283955067	-8.62103479867801
-123.70480499320036	-1.2694069523276994
-126.7368208857755	-4.301422844902845
-137.12312468043308	-14.687726639560424
-134.38178264728992	-11.946384606417269
-104.89114577380894	17.54425226706371
-131.58649046607968	-9.151092425207025
-129.7858866064729	-7.350488565600244
-113.73248081080453	8.702917230068124
-131.3021228804231	-8.866724839550443
-155.69951661025186	-33.26411856937921
-124.16669467328245	-1.7312966324097943
-116.68629848642229	5.749099554450368
-138.84317447007413	-16.407776429201476
-112.00754541487038	10.427852626002277
-113.81574366062193	8.619654380250722
-132.01187571256958	-9.57647767169692
-158.64858125478565	-36.213183213913
-126.42164944478498	-3.98625140391232
-82.78964072738961	39.645757313483045
-137.7237751726592	-15.288377131786547
-115.33221113253455	7.1031869083381025
-130.44526815360075	-8.009870112728095
-142.2707459037432	-19.83534786287055
-118.80211205410376	3.6332859867688967
-104.96314535388444	17.472252686988213
-125.43174116985244	-2.996343128979788
-116.29777126029728	6.137626780575374
-122.10194443231228	0.33345360856037587
-133.08799091755134	-10.652592876678682
-115.07491559686093	7.360482444011723
-107.08454150106479	15.350856539807864
-94.94175712677895	27.493640914093703
-113.62794776202134	8.80745027885132
-115.8941374603404	6.541260580532253
-101.2052345927608	21.230163448111853
-123.4969617914852	-1.0615637506125495
-119.29114181374678	3.1442562271258794
-158.9367079146126	-36.501309873739956
-109.90092251637031	12.53447552450234
-141.3620662930865	-18.926668252213858
-112.45291151217896	9.982486528693698
-113.72618048886432	8.70921755200834
-132.1599913611375	-9.72459332026483
-140.3283299399867	-17.892931899114046
-122.9387120540581	-0.5033140131854452
-120.77291397124134	1.6624840696313186
-119.20092970398616	3.2344683368864935
-141.9848282104889	-19.549430169616244
-109.14142321375618	13.293974827116472
-125.65996199901053	-3.224563958137878
-132.30819445117447	-9.872796410301817
-136.08551371111605	-13.650115670243395
-125.46759860423697	-3.032200563364313
-130.20654592095013	-7.7711478800774785
-122.17525330669957	0.2601447341730818
-111.33907206080983	11.09632598006283
-96.92923728112726	25.5061607597454
-114.17305805724243	8.262339983630227
-82.26272378586361	40.17267425500904
-126.35040722894553	-3.9150091880728723
-109.20738535274938	13.228012688123272
-90.91589798854909	31.519500052323565
-142.2818237679843	-19.846425727111637
-151.769505863262	-29.334107822389342
-126.45445643990604	-4.0190583990333835
-132.24269175269944	-9.807293711826787
-131.1164750693664	-8.681077028493746
-122.00489686862636	0.430501172246295
-147.79566226261738	-25.36026422174473
-129.99210042078118	-7.556702379908529
-111.5733636166209	10.86203442425176
-122.18260998727999	0.252788053592667
-130.82485955197842	-8.389461511105765
-116.06319226865378	6.3722057722188765
-120.77550897688559	1.659889063987066
-135.25403226709238	-12.818634226219729
-141.92154283823982	-19.48614479736716
-131.50693281541533	-9.07153477454267
-110.99796424743033	11.437433793442324
-117.77212806969544	4.663269971177215
-115.83012439382799	6.605273647044669
-151.1032792883292	-28.667881247456535
-138.18006576192636	-15.744667721053702
-131.91987548848044	-9.484477447607787
-113.91189917266672	8.523498868205934
-139.22047514757503	-16.785077106702374
-114.35105505628815	8.08434298458451
-146.29306059970475	-23.85766255883209
-136.52677598602384	-14.09137794515118
-98.35203763801326	24.083360402859398
-143.1260109510862	-20.69061291021353
-121.81773053605355	0.61766750481911
-128.05730315496692	-5.621905114094261
-124.40964917394228	-1.9742511330696288
-117.80064389323013	4.634754147642525
-128.11822038677417	-5.6828223459015135
-123.61582687758562	-1.180428836712963
-112.13617573148292	10.299222309389734
-107.10387734576432	15.331520695108338
-143.88431456597243	-21.448916525099776
-129.29044805575757	-6.85505001488491
-95.36924601072167	27.066152030150988
-113.23772526766186	9.197672773210797
-139.25315268522024	-16.817754644347588
-127.75910541550036	-5.323707374627702
-78.06577901742492	44.36961902344774
-116.31873896336253	6.116659077510121
-123.41907452084195	-0.9836764799692901
-123.60121021733573	-1.1658121764630778
-103.64831261345023	18.787085427422426
-99.7076339805011	22.727764060371555
-107.79507067692828	14.64032736394438
-128.6515842025932	-6.216186161720543
-113.32550816673972	9.109889874132932
-117.3139233055648	5.1214747353078565
-93.50171222323331	28.933685817639343
-144.9788692356036	-22.543471194730955
-109.04614548009192	13.389252560780733
-145.36376700510516	-22.928368964232504
-140.17098524431128	-17.735587203438627
-102.37139385452099	20.064004186351667
-134.2754487623264	-11.840050721453736
-130.23900067585998	-7.803602634987328
-101.73590503395314	20.69949300691951
-116.32467332046724	6.110724720405415
-98.88245435912756	23.55294368174509
-138.07358445370699	-15.63818641283433
-126.09379344530532	-3.6583954044326674
-128.8783447146801	-6.442946673807455
-136.77802748792817	-14.342629447055515
-114.03090081578773	8.404497225084924
-118.97736982555432	3.458028215318336
-125.33543428941118	-2.9000362485385267
-98.11558646261471	24.31981157825794
-127.37838666000823	-4.942988619135576
-136.35400634805626	-13.918608307183604
-122.63102184794332	-0.1956238070706604
-124.07572151068086	-1.6403234698082088
-136.1305125802122	-13.695114539339556
-116.70623140985333	5.729166631019325
-131.02341058774107	-8.588012546868413
-141.53445664690878	-19.099058606036124
-127.56188421615877	-5.126486175286118
-136.01000574310672	-13.574607702234061
-105.50484328389064	16.93055475698202
-125.90406167419349	-3.46866363332083
-128.74273504997325	-6.307337009100593
-129.65668156126992	-7.2212835203972645
-120.96293661721063	1.4724614236620255
-133.54121899386007	-11.105820952987415
-110.30081968681259	12.134578354060068
-143.1511466616888	-20.715748620816157
-132.5852074081871	-10.149809367314447
-129.6179900174269	-7.182591976554249
-122.82658884243062	-0.39119080155796837
-130.14077033206775	-7.70537229119509
-122.19480809443701	0.24058994643564802
-133.118808267502	-10.683410226629348
-112.05254419765913	10.382853843213525
-130.88515443719587	-8.44975639632321
-114.1790544772324	8.256343563640257
-109.4148578152475	13.020540225625155
-123.5127936475277	-1.0773956066550454
-90.17001642746106	32.26538161341159
-139.26848748648843	-16.83308944561577
-125.43544494774903	-3.0000469068763778
-103.25434567059926	19.18105237027339
-118.75698372529075	3.678414315581904
-101.73153394477629	20.703864096096368
-110.96596506647836	11.469432974394294
-141.76235591319926	-19.326957872326602
-76.37011473022937	46.06528331064328
-135.2022900233518	-12.766891982479137
-88.10697413549713	34.32842390537553
-69.46811368275155	52.967284358121105
-128.18101798610076	-5.7456199452281
-108.94586704496248	13.489530995910172
-132.66388295037393	-10.228484909501276
-134.26861753174524	-11.83321949087258
-117.89317044177221	4.542227599100443
