Hf	deltaHf ref=-24875.329333792437
-24536.115097155063	339.2142366373737
-24857.677119159165	17.652214633271797
-24804.1136655251	71.2156682673376
-25066.350921427274	-191.0215876348375
-24788.048942001125	87.28039179131156
-24791.703667107646	83.62566668479121
-24638.130869724144	237.1984640682931
-24416.571814884137	458.75751890829997
-24726.605091331814	148.72424246062292
-24772.071725406855	103.25760838558199
-24675.464761855048	199.86457193738897
-24953.90625084868	-78.57691705624165
-24932.60513098267	-57.27579719023197
-24818.236851590857	57.092482201580424
-24884.367664909874	-9.038331117437338
-25092.47599015798	-217.14665636554128
-24808.698035278965	66.63129851347185
-24842.12173600483	33.20759778760839
-25009.0050223619	-133.6756885694631
-24345.226571731484	530.102762060953
-25152.60772014908	-277.27838635664375
-24825.830256370155	49.499077422282426
-24875.34719816848	-0.01786437604459934
-24867.171204347873	8.15812944456411
-24889.140614870423	-13.811281077985768
-24894.444717922244	-19.115384129807353
-25271.983177019294	-396.65384322685713
-24743.047910202116	132.28142359032063
-24831.708064552946	43.621269239491085
-24568.837757165657	306.49157662678044
-25154.90867989724	-279.5793461048015
-24888.266734625922	-12.937400833485299
-24700.652206659284	174.67712713315268
-24955.248912471838	-79.91957867940073
-24884.843570187728	-9.514236395290936
-25051.004319010008	-175.6749852175708
-24911.422907333774	-36.09357354133681
-24870.441991114418	4.887342678019195
-25125.33689595258	-250.0075621601427
-24431.496540910546	443.8327928818908
-25108.08136527582	-232.75203148338187
-24963.307035271453	-87.9777014790161
-24812.167529116745	63.16180467569211
-24723.42371069577	151.9056230966671
-24917.592443268015	-42.26310947557795
-24785.613111164505	89.71622262793244
-25101.153096691687	-225.82376289925014
-25032.35942379318	-157.03009000074235
-24839.439029732395	35.89030406004167
-24736.94201485914	138.38731893329532
-24706.93188523943	168.39744855300523
-24700.778194065246	174.55113972719118
-25014.422014377717	-139.0926805852796
-24610.013828135674	265.315505656763
-24959.52631987164	-84.19698607920145
-25219.073527306824	-343.744193514387
-25270.464863924088	-395.13553013165074
-25020.00306754358	-144.67373375114403
-24927.99650394532	-52.667170152883045
-25048.91057579344	-173.58124200100428
-25273.92161324665	-398.592279454213
-24908.4463460418	-33.11701224936405
-24614.560793277775	260.76854051466216
-24834.082987528378	41.24634626405896
-24726.583831100357	148.74550269207975
-25184.063470069897	-308.7341362774605
-24562.414528103396	312.9148056890408
-24591.85600914317	283.47332464926876
-24693.099591273927	182.22974251850974
-24718.282163993787	157.04716979865043
-24701.816314841777	173.5130189506599
-24990.7891013913	-115.45976759886253
-24915.726945575032	-40.39761178259505
-24949.55366405856	-74.2243302661227
-24697.95080804826	177.37852574417775
-24712.898986891025	162.43034690141212
-24579.213550379627	296.11578341280983
-24964.154322560436	-88.82498876799946
-24716.984987337255	158.34434645518195
-25050.205202177338	-174.87586838490097
-24820.778726743283	54.55060704915377
-24754.90564140242	120.4236923900171
-24697.056115180905	178.27321861153177
-24806.47274594502	68.85658784741827
-24784.646851295573	90.6824824968644
-24833.813510919088	41.51582287334895
-25051.082134291497	-175.75280049905996
-25310.53215335283	-435.2028195603925
-24642.966336291687	232.36299750074977
-24491.214350801336	384.114982991101
-24766.434742422	108.89459137043741
-25378.2023555545	-502.8730217620614
-24607.69212855004	267.6372052423976
-25020.39932380363	-145.06999001119402
-24782.843181460932	92.48615233150485
-24613.65570570601	261.6736280864279
-25008.737186558337	-133.40785276590032
-24980.51128497478	-105.18195118234144
-24783.684202216984	91.64513157545298
-25017.339202614367	-142.00986882192956
-24758.350317879445	116.9790159129916
-24542.307163050686	333.0221707417513
-25358.830437517852	-483.5011037254153
-25086.208749682653	-210.87941589021648
-24932.076543427782	-56.747209635344916
-24967.146843870094	-91.81751007765706
-25021.552483202406	-146.22314940996876
-25274.565373963396	-399.2360401709593
-24758.984961948718	116.34437184371927
-24892.7390721191	-17.4097383266635
-24211.621357993787	663.7079757986503
-24899.840442052326	-24.511108259888715
-24565.651675760393	309.67765803204384
-24928.44628031732	-53.11694652488222
-24961.382815515415	-86.05348172297818
-24638.68345780804	236.6458759843954
-24677.005630164258	198.32370362817892
-24877.39856005048	-2.0692262580414535
-24711.62178421528	163.7075495771569
-25097.811315101888	-222.48198130945093
-24641.269636106077	234.05969768635987
-24837.110029005937	38.21930478650029
-24691.582601616563	183.74673217587406
-24837.140195893862	38.1891378985747
-24976.321605207613	-100.99227141517622
-25033.064718349164	-157.73538455672679
-24839.569321711748	35.760012080689194
-24863.980755752124	11.348578040313441
-25218.20063570728	-342.87130191484175
-25314.503188410086	-439.17385461764934
-25117.91033755554	-242.58100376310176
-25131.29741449623	-255.96808070379484
-24821.583257329356	53.74607646308141
-24909.45349316412	-34.12415937168407
-25100.792258413723	-225.46292462128622
-24956.777193968937	-81.4478601765004
-24530.186030015957	345.14330377648
-24649.99000254183	225.33933125060867
-24660.931765422818	214.39756836961897
-24735.274913054363	140.05442073807353
-25003.525188720854	-128.19585492841725
-24287.695906695644	587.6334270967927
-24844.219977434284	31.10935635815258
-25117.873944997318	-242.54461120488122
-24690.15269014655	185.17664364588563
-24804.65034826414	70.67898552829865
-25219.506901978468	-344.17756818603084
-25078.068179261314	-202.73884546887712
-24785.906884117136	89.42244967530132
-25069.725726105968	-194.39639231353067
-24738.309460509798	137.0198732826393
-25047.769194693796	-172.43986090135877
